Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,Unnamed: 10,Link,Highlight
"Timbuş, Călin; Miclea, Vlad; Lemnaru, Camelia; ",Semantic segmentation-based traffic sign detection and recognition using deep learning techniques,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,325-331,2018,IEEE,C2-ISI Proceedings,PROCESAREA IMAGINILOR şi RECUNOASTEREA FORMELOR,,https://ieeexplore.ieee.org/abstract/document/8516600,
"Morosanu, Bogdan-Andrei; Lemnaru, Camelia; ",From image captioning to video summary using deep recurrent networks and unsupervised segmentation,Tenth International Conference on Machine Vision (ICMV 2017),10696.0,,171-178,2018,SPIE,C2-ISI Proceedings,PROCESAREA IMAGINILOR şi RECUNOASTEREA FORMELOR,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10696/106960P/From-image-captioning-to-video-summary-using-deep-recurrent-networks/10.1117/12.2310071.short,
"Dînşoreanu, Mihaela; Lemnaru, Camelia; ",Complex Localization in the Multiple Instance Learning Context,"New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers",10785.0,,93,2018,Springer,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-78680-3_7,
"Vasiu, Mihaela Alexandra; Marghescu, Luminița Mădălina; Bărbănțan, Ioana; Potolea, Rodica; ",Cross Documents Concept Augmentation,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-36,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516582,
"Pop, Roxana; Dregan, Anda; Măcicăşan, Florin; Lemnaru, Camelia; Potolea, Rodica; ",Enhancements on a transition-based approach for amr parsing using lstm networks,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,55-62,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516606,
"Stan, Ioan; Potolea, Rodica; ",Connected cars traffic flow balancing based on classification and calibration,"Mining Intelligence and Knowledge Exploration: 6th International Conference, MIKE 2018, Cluj-Napoca, Romania, December 20–22, 2018, Proceedings 6",,,177-188,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-05918-7_16,
"Graur, Dan-Ovidiu; Mariş, Răzvan-Alexandru; Potolea, Rodica; Dînşoreanu, Mihaela; Lemnaru, Camelia; ",Complex localization in the multiple instance learning context,"New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers 6",,,93-106,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-78680-3_7,
"Socaci, Ioana Angela; Lemnaru, Camelia; ",A Comparative Study of Methods Used in the Analysis and Prediction of Financial Data,"Mining Intelligence and Knowledge Exploration: 6th International Conference, MIKE 2018, Cluj-Napoca, Romania, December 20–22, 2018, Proceedings 6",,,309-320,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-05918-7_28,
"Hasna, Octavian Lucian; Potolea, Rodica; ",Robust feature extraction from noisy ECG for atrial fibrillation detection,2017 Computing in Cardiology (CinC),,,01-Apr,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8331573,
"Lemnaru, Camelia; Potolea, Rodica; ",Evolutionary cost-sensitive balancing: A generic method for imbalanced classification problems,"EVOLVE-A Bridge between Probability, Set Oriented Numerics, and Evolutionary Computation VI",,,194-209,2017,Springer International Publishing Cham,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/chapter/10.1007/978-3-319-69710-9_14,
"Hasna, Octavian Lucian; Potolea, Rodica; ",Time series—A taxonomy based survey,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,231-238,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8117009,
"Cimpian, Silviana; Lazar, Andreea; Macicasan, Florin; Lemnaru, Camelia; ",A transition-based approach for amr parsing using lstm networks,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,103-110,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8116990,
"Dolean, S.; Dînşoreanu, M.; Mureşan, R.C.; Geiszt, A.; Potolea, R.; Ţincaş, I.",A Scaled-Correlation Based Approach for Defining and Analyzing Functional Networks,"In Appice A., Loglisci C., Manco G., Masciari E., Ras Z. (eds) New Frontiers in Mining Complex Patterns. NFMCP 2017. Lecture Notes in Computer Science",10785.0,,80-92,2017,Springer,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,,
"Rus, Iacob D; Marc, Paul; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Classification of EEG signals in an object recognition task,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,391-395,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8117036,
"Nedelcu, Elena; Portase, Raluca; Tolas, Ramona; Muresan, Raul; Dinsoreanu, Mihaela; Potolea, Rodica;",Artifact detection in EEG using machine learning,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,77-83,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/8116986,
"Parau, P; Lemnaru, C; Dinsoreanu, M; Potolea, R; ",Opinion leader detection,Sentiment analysis in social networks,,,157-170,2017,Morgan Kaufmann,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://www.sciencedirect.com/science/article/abs/pii/B9780128044124000103,
"Vlad Vasile, Itu; Potolea, Rodica; Dinsoreanu, Mihaela; ",Unsupervised Classification of Opinions,"Proceedings of the International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",,,360-366,2016,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.5220/0006069903600366,
"Budai, Kinga; Dînşoreanu, Mihaela; Bărbănţan, Ioana; Potolea, Rodica; ",Learning relations using semantic-based vector similarity,2016 IEEE 12th International Conference on Intelligent Computer Communication and Processing (ICCP),,,69-75,2016,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7737125,
"Indre, Ionut; Lemnaru, Camelia; ",Detection and prevention system against cyber attacks and botnet malware for information systems and Internet of Things,2016 IEEE 12th International Conference on Intelligent Computer Communication and Processing (ICCP),,,175-182,2016,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7737142,
"Bona, Adrian; Lemnaru, Camelia; Potolea, Rodica; ",Syllabification with Frequent Sequence Patterns,"Proceedings of the International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",,,352-359,2016,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2016/60697/,
"Barbantan, Ioana; Porumb, Mihaela; Lemnaru, Camelia; Potolea, Rodica; ",Feature Engineered Relation Extraction–Medical Documents Setting,International Journal of Web Information Systems,,,,2016,Emerald Group Publishing Limited,,INGINERIA CUNOSTINTELOR,,https://www.emerald.com/insight/content/doi/10.1108/ijwis-03-2016-0015/full/html,
"Chirila, Stefana; Lemnaru, Camelia; Dinsoreanu, Mihaela; ",Semantic-based IoT device discovery and recommendation mechanism,2016 IEEE 12th international conference on intelligent computer communication and processing (ICCP),,,111-116,2016,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7737131,
"Hasna, Octavian Lucian; Măcicăşan, Florin Cristian; Dînşoreanu, Mihaela; Potolea, Rodica; ",Modeling sentiment polarity with meta-features to achieve domain-independence,"Knowledge Discovery, Knowledge Engineering and Knowledge Management: 6th International Joint Conference, IC3K 2014, Rome, Italy, October 21-24, 2014, Revised Selected Papers 6",,,212-227,2015,Springer International Publishing,C3-BDI,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-25840-9_14,
"Prisca, Stefan; Potolea, Rodica; Dinsoreanu, Mihaela; ",A language independent user adaptable approach for word auto-completion,2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,43-49,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7312604,
"Balc, Diana; Beleiu, Anamaria; Potolea, Rodica; Lemnaru, Camelia; ",A learning-based approach for Romanian syllabification and stress assignment,2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,37-42,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7312603,
"Prisca, Stefan; Dinsoreanu, Mihaela; Lemnaru, Camelia; ",Topic oriented auto-completion models: Approaches towards fastening auto-completion systems,"2015 7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K)",1.0,,241-248,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7526926,
"Ionescu, Victor; Potolea, Rodica; Dinsoreanu, Mihaela; ",Data driven structural similarity: A Distance measure for adaptive linear approximations of time series,"2015 7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K)",1.0,,67-74,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7526904,
"Bărbănțan, I.; Potolea, R",Towards Cross Language Morphologic Negation Identification in Electronic Health Records,"În T. Z.-G.-G. Ramón Agüero, Mobile Networks and Management, Chapter: Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",141.0,,417-430,2015,Springer International Publishing,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-16292-8_30,
"Muresan, Sebastian; Faloba, Ioana; Lemnaru, Camelia; Potolea, Rodica; ",Pre-processing flow for enhancing learning from medical data,2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,27-34,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7312601,
"Szenasi, Gyorgy; Lemnaru, Camelia; Barbantan, Ioana; ",Concept extraction from medical documents a contextual approach,2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,13-17,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7312599,
"Parau, Paul; Lemnaru, Camelia; Potolea, Rodica; ",Assessing vertex relevance based on community detection,"2015 7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K)",1.0,,46-56,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7526902,
"Porumb, Mihaela; Barbantan, Ioana; Lemnaru, Camelia; Potolea, Rodica; ",REMed: automatic relation extraction from medical documents,Proceedings of the 17th International Conference on Information Integration and Web-based Applications & Services,,,01-Oct,2015,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.1145/2837185.2837239,
"Chira, Camelia; Lemnaru, Camelia; ",A multi-objective evolutionary approach to imbalanced classification problems,2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,149-154,2015,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/7312620,
"Barbantan, Ioana; Lemnaru, Camelia; Potolea, Rodica; ",Disease Identification in Electronic Health Records - An Ontology based Approach,KDIR,,,261-268,2014,INSTICC,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.5220/0005082002610268,
"Dinsoreanu, Mihaela; Bacu, Andrei; ",Unsupervised Twitter sentiment classification,"Proceedings of the International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management-Volume 3",,,220-227,2014,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2014/50790/50790.pdf,
"Russu, Roxana Monica; Dinsoreanu, Mihaela; Vlad, Oana Luminita; Potolea, Rodica; ",An opinion mining approach for Romanian language,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,43-46,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6936976,
"Anisiei, Ancuta-Lenuta; Dinsoreanu, Mihaela; Lemnaru, Camelia; Potolea, Rodica; ",Extracting opinion holders and targets in Romanian texts,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,37-42,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6936977,
"Hasna, Octavian Lucian; Macicasan, Florin Cristian; Dinsoreanu, Mihaela; Potolea, Rodica; ",Sentiment Polarity Extension for Context-Sensitive Recommender Systems.,KDIR,,,126-137,2014,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2014/51411/51411.pdf,
"Rădulescu, Cristina; Dinsoreanu, Mihaela; Potolea, Rodica; ",Identification of spam comments using natural language processing techniques,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-35,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6936976,
"Cosma, Alexandru Cristian; Itu, Vlad-Vasile; Suciu, Darius Andrei; Dinsoreanu, Mihaela; Potolea, Rodica; ",Overcoming the domain barrier in opinion extraction,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,289-296,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6937011,
"Suciu, Darius Andrei; Itu, Vlad Vasile; Cosma, Alexandru Cristian; Dinsoreanu, Mihaela; Potolea, Rodica; ",Learning Good Opinions from Just Two Words Is Not Bad,"Proceedings of the International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management-Volume 1",,,233-241,2014,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2014/50798/50798.pdf,
"Dinsoreanu, Mihaela; Potolea, Rodica; ",Opinion-driven communities’ detection,International Journal of Web Information Systems,10.0,4.0,324-342,2014,Emerald Group Publishing Limited,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.emerald.com/insight/content/doi/10.1108/ijwis-04-2014-0016/full/html,
"Vancea, Bogdan; Marchis, Alexandru; Dinsoreanu, Mihaela; Potolea, Rodica; ",Contradiction detection between opinions: From a big data perspective,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,259-266,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646118,
"Chiorean, Raluca-Sonia; Dînşoreanu, Mihaela; Faloba, Daciana-Ioana; Potolea, Rodica; ",Sentiment polarity identification using machine learning techniques,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,47-50,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646079,
"Dinsoreanu, Mihaela; Potolea, Rodica; ",Towards a Unified Thematic Model for Recommending Context-Sensitive Content,"Knowledge Discovery, Knowledge Engineering and Knowledge Management: 4th International Joint Conference, IC3K 2012, Barcelona, Spain, October 4-7, 2012, Revised Selected Papers 4",,,68-83,2013,Springer Berlin Heidelberg,C3-BDI,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-642-54105-6_5,
"Dînşoreanu, Mihaela; Potolea, Rodica; ",A scalable approach for contradiction detection driven by opinion mining,Proceedings of International Conference on Information Integration and Web-based Applications & Services,,,Jul.15,2013,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.1145/2539150.2539168,
"Lemnaru, Camelia; Bona, Adrian; Potolea, Rodica; ",Distributed Methodologies for Imbalanced Classification Problems: Parameter Analysis and Tuning,2013 IEEE 12th International Symposium on Parallel and Distributed Computing,,,53-58,2013,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6663564,
"Ionescu, Victor; Dinsoreanu, Mihaela; ",An approach to mining financial markets through market state classification,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,43-46,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646078,
"Parau, Paul; Stef, Alexandru; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Using community detection for sentiment analysis,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,51-54,2013,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646080,
Lemnaru Camelia; Sergiu Nedevschi,Strategies for Dealing with Real-World Classification Problems,,,,,2012,,A-Teza doctorat,INTELIGENŢĂ ARTIFICIALĂ,,https://users.utcluj.ro/~cameliav/documents/TezaFinalLemnaru.pdf,
"Dinsoreanu, Mihaela; Pusztai, Kalman;",Contribuții la modelarea sistemelor distribuite cu agenți cooperanți,Universitatea Tehnica Cluj-Napoca,,,,2004,,A-Teza doctorat,INTELIGENŢĂ ARTIFICIALĂ,,,
Rodica Potolea; Kalman Pusztai,Contributions to Multiparadigm Logic Programming Systems,Universitatea Tehnica din Cluj-Napoca,,,,1998,,A-Teza doctorat,,,,
